 0.5200000E-01 -0.5589162E+00 -0.1578482E+00 -0.9826491E+00 -0.9040970E+00  0.2940191E+00  0.1034866E+00  0.2906693E+00  0.2848282E+00  0.1324629E+00 -0.2501498E+00 -0.7668784E+00  0.2155818E+00
 0.5400000E-01 -0.5590338E+00 -0.1578893E+00 -0.9827433E+00 -0.9042072E+00  0.2940926E+00  0.1035139E+00  0.2907424E+00  0.2848999E+00  0.1324978E+00 -0.2502136E+00 -0.7670034E+00  0.2156375E+00
 0.5600000E-01 -0.5591550E+00 -0.1579318E+00 -0.9828407E+00 -0.9043209E+00  0.2941683E+00  0.1035419E+00  0.2908178E+00  0.2849740E+00  0.1325338E+00 -0.2502795E+00 -0.7671325E+00  0.2156949E+00
 0.5800000E-01 -0.5592799E+00 -0.1579755E+00 -0.9829410E+00 -0.9044381E+00  0.2942464E+00  0.1035709E+00  0.2908955E+00  0.2850503E+00  0.1325709E+00 -0.2503473E+00 -0.7672654E+00  0.2157540E+00
 0.6000000E-01 -0.5594084E+00 -0.1580204E+00 -0.9830443E+00 -0.9045587E+00  0.2943267E+00  0.1036006E+00  0.2909754E+00  0.2851288E+00  0.1326090E+00 -0.2504170E+00 -0.7674023E+00  0.2158149E+00
 0.6200000E-01 -0.5595404E+00 -0.1580666E+00 -0.9831505E+00 -0.9046827E+00  0.2944091E+00  0.1036312E+00  0.2910575E+00  0.2852094E+00  0.1326482E+00 -0.2504887E+00 -0.7675430E+00  0.2158774E+00
 0.6400000E-01 -0.5596758E+00 -0.1581140E+00 -0.9832597E+00 -0.9048100E+00  0.2944938E+00  0.1036625E+00  0.2911418E+00  0.2852922E+00  0.1326885E+00 -0.2505623E+00 -0.7676876E+00  0.2159416E+00
 0.6600000E-01 -0.5598147E+00 -0.1581626E+00 -0.9833717E+00 -0.9049405E+00  0.2945805E+00  0.1036947E+00  0.2912283E+00  0.2853772E+00  0.1327298E+00 -0.2506378E+00 -0.7678358E+00  0.2160075E+00
 0.6800000E-01 -0.5599569E+00 -0.1582124E+00 -0.9834865E+00 -0.9050743E+00  0.2946693E+00  0.1037276E+00  0.2913169E+00  0.2854642E+00  0.1327721E+00 -0.2507151E+00 -0.7679878E+00  0.2160750E+00
 0.7000000E-01 -0.5601023E+00 -0.1582633E+00 -0.9836041E+00 -0.9052112E+00  0.2947602E+00  0.1037613E+00  0.2914076E+00  0.2855532E+00  0.1328154E+00 -0.2507942E+00 -0.7681434E+00  0.2161440E+00
 0.7200000E-01 -0.5602511E+00 -0.1583153E+00 -0.9837244E+00 -0.9053513E+00  0.2948531E+00  0.1037957E+00  0.2915003E+00  0.2856443E+00  0.1328596E+00 -0.2508751E+00 -0.7683026E+00  0.2162146E+00
 0.7400000E-01 -0.5604029E+00 -0.1583685E+00 -0.9838475E+00 -0.9054945E+00  0.2949480E+00  0.1038308E+00  0.2915950E+00  0.2857373E+00  0.1329049E+00 -0.2509578E+00 -0.7684653E+00  0.2162867E+00
 0.7600000E-01 -0.5605579E+00 -0.1584227E+00 -0.9839732E+00 -0.9056407E+00  0.2950448E+00  0.1038667E+00  0.2916917E+00  0.2858323E+00  0.1329511E+00 -0.2510422E+00 -0.7686315E+00  0.2163604E+00
 0.7800000E-01 -0.5607160E+00 -0.1584780E+00 -0.9841016E+00 -0.9057899E+00  0.2951435E+00  0.1039033E+00  0.2917903E+00  0.2859292E+00  0.1329982E+00 -0.2511283E+00 -0.7688011E+00  0.2164355E+00
 0.8000000E-01 -0.5608771E+00 -0.1585343E+00 -0.9842326E+00 -0.9059420E+00  0.2952440E+00  0.1039406E+00  0.2918909E+00  0.2860280E+00  0.1330462E+00 -0.2512160E+00 -0.7689742E+00  0.2165121E+00
 0.8200000E-01 -0.5610411E+00 -0.1585917E+00 -0.9843662E+00 -0.9060970E+00  0.2953464E+00  0.1039785E+00  0.2919933E+00  0.2861286E+00  0.1330951E+00 -0.2513054E+00 -0.7691505E+00  0.2165901E+00
 0.8400000E-01 -0.5612080E+00 -0.1586501E+00 -0.9845023E+00 -0.9062549E+00  0.2954506E+00  0.1040171E+00  0.2920976E+00  0.2862310E+00  0.1331449E+00 -0.2513964E+00 -0.7693302E+00  0.2166695E+00
 0.8600000E-01 -0.5613777E+00 -0.1587094E+00 -0.9846410E+00 -0.9064157E+00  0.2955566E+00  0.1040564E+00  0.2922037E+00  0.2863352E+00  0.1331956E+00 -0.2514889E+00 -0.7695131E+00  0.2167503E+00
 0.8800000E-01 -0.5615502E+00 -0.1587697E+00 -0.9847821E+00 -0.9065791E+00  0.2956642E+00  0.1040963E+00  0.2923116E+00  0.2864412E+00  0.1332471E+00 -0.2515830E+00 -0.7696992E+00  0.2168325E+00
 0.9000000E-01 -0.5617255E+00 -0.1588310E+00 -0.9849258E+00 -0.9067454E+00  0.2957736E+00  0.1041368E+00  0.2924213E+00  0.2865489E+00  0.1332995E+00 -0.2516786E+00 -0.7698884E+00  0.2169159E+00
 0.9200000E-01 -0.5619034E+00 -0.1588932E+00 -0.9850718E+00 -0.9069143E+00  0.2958846E+00  0.1041779E+00  0.2925326E+00  0.2866582E+00  0.1333527E+00 -0.2517758E+00 -0.7700807E+00  0.2170007E+00
